PRACTICE_CODE_DEM,PRACTICE_NAME,PCN_ODS_CODE,PCN_NAME,SUB_ICB_ODS_CODE,SUB_ICB_ONS_CODE,ASS_Declined_GP_Mem_Ass,ASS_Declined_GP_Mem_Clinic,ASS_Received_GP,ASS_Received_GP_Mem_Ass,ASS_Received_GP_Mem_Clinic,DEMENTIA_REGISTER_0_64,DEMENTIA_REGISTER_65_PLUS,DIAG_Declined_Care_Plan,DIAG_Received_Care_Plan,DIAG_Received_Med_Rev,PAT_LIST_0_64,PAT_LIST_65_PLUS,PRACTICE_CODE_GP,PRACTICE_POSTCODE,PCN_CODE,ICB_CODE,ICB_NAME,SUPPLIER_NAME
G85040,QUEENS ROAD SURGERY,U60094,SOUTH SOUTHWARK PCN,72Q,E38000244,0.0,0.0,66.0,10.0,4.0,1.0,34.0,0.0,24.0,10.0,12934.0,879.0,G85040,SE15 2UA,U60094,QKK,NHS South East London Integrated Care Board,EMIS
G85041,PALACE ROAD SURGERY,U99355,STREATHAM PCN,72Q,E38000244,0.0,0.0,8.0,0.0,4.0,0.0,35.0,0.0,25.0,11.0,7011.0,1037.0,G85041,SW2 3DY,U99355,QKK,NHS South East London Integrated Care Board,EMIS
G85042,ST GILES SURGERY,U60094,SOUTH SOUTHWARK PCN,72Q,E38000244,0.0,0.0,42.0,2.0,0.0,1.0,18.0,0.0,13.0,6.0,6125.0,600.0,G85042,SE5 7RF,U60094,QKK,NHS South East London Integrated Care Board,EMIS
G85044,VALLEY ROAD SURGERY,U99355,STREATHAM PCN,72Q,E38000244,0.0,0.0,21.0,0.0,5.0,0.0,22.0,0.0,20.0,11.0,4907.0,769.0,G85044,SW16 2XT,U99355,QKK,NHS South East London Integrated Care Board,EMIS
G85045,HETHERINGTON GROUP PRACTICE,U36779,BRIXTON AND CLAPHAM PARK PCN,72Q,E38000244,0.0,0.0,22.0,3.0,10.0,2.0,33.0,0.0,23.0,16.0,6849.0,1020.0,G85045,SW4 7NU,U36779,QKK,NHS South East London Integrated Care Board,EMIS
G85046,LEE ROAD SURGERY,U21222,LEWISHAM ALLIANCE PCN,72Q,E38000244,0.0,0.0,7.0,0.0,2.0,1.0,98.0,0.0,85.0,38.0,10238.0,1858.0,G85046,SE3 9RT,U21222,QKK,NHS South East London Integrated Care Board,EMIS
G85047,KNIGHTS HILL SURGERY SUITE 1,U39721,"HILLS, BROOKS & DALES GROUP PCN",72Q,E38000244,0.0,0.0,26.0,0.0,12.0,1.0,38.0,0.0,31.0,23.0,10465.0,824.0,G85047,SE27 0DF,U39721,QKK,NHS South East London Integrated Care Board,EMIS
G85051,ELM LODGE SURGERY,U60094,SOUTH SOUTHWARK PCN,72Q,E38000244,0.0,0.0,31.0,0.0,5.0,0.0,44.0,0.0,30.0,14.0,7757.0,1419.0,G85051,SE24 9HJ,U60094,QKK,NHS South East London Integrated Care Board,EMIS
G85052,OLD KENT ROAD SURGERY,U06180,NORTH SOUTHWARK PCN,72Q,E38000244,0.0,0.0,124.0,57.0,1.0,2.0,21.0,0.0,20.0,16.0,9629.0,699.0,G85052,SE1 5TY,U06180,QKK,NHS South East London Integrated Care Board,EMIS
G85053,HURLEY AND RIVERSIDE PRACTICES,U38045,NORTH LAMBETH PCN,72Q,E38000244,0.0,2.0,129.0,8.0,7.0,1.0,42.0,0.0,31.0,29.0,21224.0,1909.0,G85053,SE11 4HJ,U38045,QKK,NHS South East London Integrated Care Board,EMIS
G85054,LAMBETH WALK GROUP PRACTICE,U38045,NORTH LAMBETH PCN,72Q,E38000244,0.0,0.0,15.0,0.0,5.0,1.0,49.0,0.0,24.0,15.0,6126.0,1156.0,G85054,SW9 6AF,U38045,QKK,NHS South East London Integrated Care Board,EMIS
G85057,ASHDOWN MEDICAL GROUP,U58020,SEVENFIELDS PCN,72Q,E38000244,0.0,0.0,8.0,0.0,4.0,1.0,48.0,0.0,34.0,32.0,11034.0,1722.0,G85057,BR1 5EP,U58020,QKK,NHS South East London Integrated Care Board,EMIS
G85061,WOOLSTONE MEDICAL CENTRE,U23546,APLOS HEALTH PCN,72Q,E38000244,0.0,0.0,12.0,1.0,8.0,0.0,39.0,0.0,31.0,23.0,8579.0,1111.0,G85061,SE23 2SG,U23546,QKK,NHS South East London Integrated Care Board,EMIS
G85073,VASSALL MEDICAL CENTRE,U41041,FIVEWAYS PCN,72Q,E38000244,0.0,0.0,5.0,0.0,2.0,1.0,31.0,0.0,26.0,11.0,6526.0,740.0,G85073,SW9 6NA,U41041,QKK,NHS South East London Integrated Care Board,EMIS
G85076,NEW CROSS CENTRE (HURLEY GROUP),U53896,NORTH LEWISHAM PCN,72Q,E38000244,0.0,0.0,34.0,23.0,2.0,2.0,22.0,0.0,17.0,14.0,8644.0,812.0,G85076,SE14 6LD,U53896,QKK,NHS South East London Integrated Care Board,EMIS
G85083,SANDMERE PRACTICE,U45098,CLAPHAM PCN,72Q,E38000244,0.0,0.0,13.0,2.0,4.0,2.0,29.0,0.0,29.0,10.0,11344.0,1274.0,G85083,SW4 7QJ,U45098,QKK,NHS South East London Integrated Care Board,EMIS
G85084,PENROSE SURGERY,U06180,NORTH SOUTHWARK PCN,72Q,E38000244,0.0,0.0,31.0,0.0,9.0,3.0,35.0,0.0,26.0,13.0,14991.0,950.0,G85084,SE17 3DW,U06180,QKK,NHS South East London Integrated Care Board,EMIS
G85085,GROVE MEDICAL CENTRE,U53896,NORTH LEWISHAM PCN,72Q,E38000244,0.0,0.0,9.0,0.0,2.0,0.0,26.0,0.0,20.0,13.0,12362.0,779.0,G85085,SE8 3QH,U53896,QKK,NHS South East London Integrated Care Board,EMIS
G85086,THE SOUTH LAMBETH RD PRACTICE,U38045,NORTH LAMBETH PCN,72Q,E38000244,0.0,0.0,12.0,0.0,4.0,0.0,16.0,0.0,8.0,*,10191.0,815.0,G85086,SW8 1UL,U38045,QKK,NHS South East London Integrated Care Board,EMIS
G85087,SILVERLOCK MEDICAL CENTRE,U06180,NORTH SOUTHWARK PCN,72Q,E38000244,3.0,0.0,63.0,0.0,2.0,5.0,17.0,0.0,21.0,8.0,16259.0,967.0,G85087,SE16 3HA,U06180,QKK,NHS South East London Integrated Care Board,EMIS
G85091,THE THREE ZERO SIX MEDICAL CENTRE,U60094,SOUTH SOUTHWARK PCN,72Q,E38000244,0.0,0.0,53.0,1.0,8.0,1.0,15.0,0.0,10.0,10.0,6246.0,496.0,G85091,SE22 8LY,U60094,QKK,NHS South East London Integrated Care Board,EMIS
G85096,THE VALE SURGERY,U99355,STREATHAM PCN,72Q,E38000244,0.0,0.0,143.0,1.0,2.0,1.0,52.0,0.0,37.0,31.0,9459.0,1119.0,G85096,SW16 5SE,U99355,QKK,NHS South East London Integrated Care Board,EMIS
G85100,BECKETT HOUSE PRACTICE,U65434,STOCKWELLBEING PCN,72Q,E38000244,0.0,0.0,21.0,1.0,8.0,0.0,23.0,0.0,17.0,17.0,7935.0,594.0,G85100,SW9 9DL,U65434,QKK,NHS South East London Integrated Care Board,EMIS
G85102,GRAY'S INN MEDICAL GROUP VAUXHALL,U38045,NORTH LAMBETH PCN,72Q,E38000244,2.0,0.0,20.0,6.0,3.0,1.0,15.0,0.0,11.0,7.0,8995.0,510.0,G85102,SE11 5NH,U38045,QKK,NHS South East London Integrated Care Board,EMIS
G85104,ICO HEALTH GROUP,U42936,RAVENSBOURNE PCN LTD,72Q,E38000244,0.0,0.0,3.0,0.0,0.0,1.0,40.0,2.0,26.0,*,8507.0,1515.0,G85104,BR1 5EP,U42936,QKK,NHS South East London Integrated Care Board,EMIS
G85105,VESTA ROAD SURGERY,U53896,NORTH LEWISHAM PCN,72Q,E38000244,0.0,0.0,35.0,1.0,1.0,0.0,11.0,0.0,9.0,7.0,6098.0,524.0,G85105,SE4 2NH,U53896,QKK,NHS South East London Integrated Care Board,EMIS
G85109,CLAPHAM PARK GROUP PRACTICE,U36779,BRIXTON AND CLAPHAM PARK PCN,72Q,E38000244,0.0,0.0,33.0,1.0,13.0,3.0,49.0,0.0,35.0,29.0,19740.0,1511.0,G85109,SW4 8JP,U36779,QKK,NHS South East London Integrated Care Board,EMIS
G85114,WELLS PARK PRACTICE,U23546,APLOS HEALTH PCN,72Q,E38000244,0.0,0.0,14.0,0.0,0.0,7.0,48.0,0.0,47.0,17.0,11570.0,1437.0,G85114,SE26 6JQ,U23546,QKK,NHS South East London Integrated Care Board,EMIS
G85119,STERNHALL LANE SURGERY,U60094,SOUTH SOUTHWARK PCN,72Q,E38000244,0.0,0.0,22.0,0.0,5.0,1.0,32.0,1.0,26.0,18.0,5796.0,637.0,G85119,SE15 4NT,U60094,QKK,NHS South East London Integrated Care Board,EMIS
G85120,TRIANGLE GROUP PRACTICE,U21222,LEWISHAM ALLIANCE PCN,72Q,E38000244,0.0,0.0,1.0,0.0,0.0,3.0,28.0,0.0,31.0,27.0,5627.0,891.0,G85120,SE13 6DQ,U21222,QKK,NHS South East London Integrated Care Board,EMIS
G85121,PARKVIEW SURGERY,U58020,SEVENFIELDS PCN,72Q,E38000244,0.0,1.0,21.0,0.0,4.0,6.0,76.0,3.0,58.0,43.0,9283.0,783.0,G85121,SE6 1AT,U58020,QKK,NHS South East London Integrated Care Board,EMIS
G85123,BINFIELD ROAD SURGERY,U65434,STOCKWELLBEING PCN,72Q,E38000244,0.0,0.0,23.0,0.0,11.0,0.0,35.0,0.0,28.0,13.0,9193.0,865.0,G85123,SW4 6TB,U65434,QKK,NHS South East London Integrated Care Board,EMIS
G85125,PARK MEDICAL CENTRE,U06180,NORTH SOUTHWARK PCN,72Q,E38000244,0.0,0.0,31.0,0.0,6.0,0.0,25.0,0.0,13.0,11.0,5358.0,751.0,G85125,SE16 2PE,U06180,QKK,NHS South East London Integrated Care Board,EMIS
G85127,THE CORNER SURGERY,U41041,FIVEWAYS PCN,72Q,E38000244,0.0,0.0,5.0,0.0,2.0,1.0,19.0,0.0,13.0,7.0,5931.0,475.0,G85127,SE5 9NS,U41041,QKK,NHS South East London Integrated Care Board,EMIS
G85129,THE DEERBROOK SURGERY,U41041,FIVEWAYS PCN,72Q,E38000244,0.0,0.0,12.0,0.0,6.0,0.0,16.0,0.0,13.0,11.0,7131.0,503.0,G85129,SE27 9AW,U41041,QKK,NHS South East London Integrated Care Board,EMIS
G85130,MAWBEY GROUP PRACTICE,U38045,NORTH LAMBETH PCN,72Q,E38000244,0.0,0.0,21.0,1.0,3.0,4.0,44.0,0.0,31.0,23.0,9162.0,979.0,G85130,SW8 2UD,U38045,QKK,NHS South East London Integrated Care Board,EMIS
G85132,TESSA JOWELL GP SURGERY,U60094,SOUTH SOUTHWARK PCN,72Q,E38000244,0.0,0.0,118.0,0.0,9.0,3.0,25.0,1.0,18.0,5.0,14304.0,1277.0,G85132,SE22 8EY,U60094,QKK,NHS South East London Integrated Care Board,EMIS
G85134,THE LISTER PRIMARY CARE CENTRE,U60094,SOUTH SOUTHWARK PCN,72Q,E38000244,0.0,0.0,182.0,24.0,0.0,2.0,20.0,0.0,19.0,10.0,8032.0,841.0,G85134,SE15 5LJ,U60094,QKK,NHS South East London Integrated Care Board,EMIS
G85135,MINET GREEN HEALTH PRACTICE,U41041,FIVEWAYS PCN,72Q,E38000244,0.0,0.0,19.0,1.0,8.0,3.0,61.0,2.0,41.0,31.0,10312.0,1381.0,G85135,SW9 6AF,U41041,QKK,NHS South East London Integrated Care Board,EMIS
G85136,WATERLOO HEALTH CENTRE,U38045,NORTH LAMBETH PCN,72Q,E38000244,0.0,0.0,15.0,4.0,6.0,1.0,31.0,0.0,22.0,17.0,14252.0,1116.0,G85136,SE1 7AE,U38045,QKK,NHS South East London Integrated Care Board,EMIS
G85137,BROCKWELL PARK SURGERY,U60524,CROXTED PCN,72Q,E38000244,0.0,0.0,5.0,0.0,1.0,0.0,24.0,0.0,20.0,16.0,8002.0,717.0,G85137,SE24 9AE,U60524,QKK,NHS South East London Integrated Care Board,EMIS
G85138,ALBION STREET GROUP PRACTICE,U06180,NORTH SOUTHWARK PCN,72Q,E38000244,0.0,0.0,28.0,0.0,7.0,5.0,42.0,0.0,23.0,14.0,13554.0,1303.0,G85138,SE16 7JX,U06180,QKK,NHS South East London Integrated Care Board,EMIS
G85623,BERMONDSEY SPA MEDICAL CENTRE,U06180,NORTH SOUTHWARK PCN,72Q,E38000244,0.0,0.0,7.0,0.0,0.0,1.0,22.0,0.0,20.0,10.0,9910.0,951.0,G85623,SE16 4BL,U06180,QKK,NHS South East London Integrated Care Board,EMIS
G85632,THE VILLA STREET MEDICAL CENTRE,U06180,NORTH SOUTHWARK PCN,72Q,E38000244,0.0,0.0,52.0,2.0,5.0,2.0,29.0,0.0,25.0,18.0,8506.0,650.0,G85632,SE17 2EL,U06180,QKK,NHS South East London Integrated Care Board,EMIS
G85633,NOVUM HEALTH PARTNERSHIP,U42936,RAVENSBOURNE PCN LTD,72Q,E38000244,0.0,0.0,17.0,3.0,7.0,5.0,83.0,0.0,52.0,40.0,18155.0,2262.0,G85633,SE6 4JH,U42936,QKK,NHS South East London Integrated Care Board,EMIS
G85642,BLACKFRIARS MEDICAL PRACTICE,U06180,NORTH SOUTHWARK PCN,72Q,E38000244,0.0,0.0,63.0,14.0,17.0,1.0,28.0,0.0,22.0,18.0,8741.0,807.0,G85642,SE1 8EE,U06180,QKK,NHS South East London Integrated Care Board,EMIS
G85644,THE GARDENS SURGERY,U60094,SOUTH SOUTHWARK PCN,72Q,E38000244,0.0,0.0,30.0,1.0,4.0,0.0,22.0,0.0,12.0,7.0,5467.0,750.0,G85644,SE22 9QU,U60094,QKK,NHS South East London Integrated Care Board,EMIS
G85647,THE EXCHANGE SURGERY,U99355,STREATHAM PCN,72Q,E38000244,0.0,0.0,15.0,0.0,3.0,1.0,25.0,0.0,25.0,25.0,6882.0,709.0,G85647,SW16 2ST,U99355,QKK,NHS South East London Integrated Care Board,EMIS
G85651,THE DULWICH MEDICAL CENTRE,U60094,SOUTH SOUTHWARK PCN,72Q,E38000244,0.0,0.0,14.0,0.0,4.0,0.0,22.0,1.0,8.0,*,6178.0,692.0,G85651,SE22 9EP,U60094,QKK,NHS South East London Integrated Care Board,EMIS
G85662,THE STREATHAM HILL GROUP PRACTICE,U99355,STREATHAM PCN,72Q,E38000244,0.0,0.0,11.0,0.0,8.0,1.0,27.0,0.0,22.0,6.0,6462.0,970.0,G85662,SW16 2PG,U99355,QKK,NHS South East London Integrated Care Board,EMIS
G85673,SPRINGFIELD MEDICAL CENTRE,U65434,STOCKWELLBEING PCN,72Q,E38000244,0.0,0.0,7.0,0.0,2.0,1.0,11.0,0.0,12.0,10.0,6479.0,469.0,G85673,SW8 2SH,U65434,QKK,NHS South East London Integrated Care Board,EMIS
G85674,GRAFTON SQUARE SURGERY,U45098,CLAPHAM PCN,72Q,E38000244,0.0,0.0,2.0,0.0,2.0,0.0,11.0,0.0,4.0,*,6844.0,394.0,G85674,SW4 0DE,U45098,QKK,NHS South East London Integrated Care Board,EMIS
G85681,THE LORDSHIP LANE SURGERY,U60094,SOUTH SOUTHWARK PCN,72Q,E38000244,0.0,0.0,28.0,2.0,0.0,2.0,14.0,1.0,10.0,*,4223.0,519.0,G85681,SE22 8JN,U60094,QKK,NHS South East London Integrated Care Board,EMIS
G85685,THE NUNHEAD SURGERY,U60094,SOUTH SOUTHWARK PCN,72Q,E38000244,0.0,0.0,34.0,0.0,4.0,4.0,45.0,1.0,29.0,23.0,8274.0,1124.0,G85685,SE15 3LY,U60094,QKK,NHS South East London Integrated Care Board,EMIS
G85690,HERNE HILL ROAD MEDICAL PRACTICE,U41041,FIVEWAYS PCN,72Q,E38000244,0.0,0.0,10.0,0.0,4.0,1.0,17.0,0.0,12.0,7.0,6627.0,546.0,G85690,SE24 0AU,U41041,QKK,NHS South East London Integrated Care Board,EMIS
G85695,AKERMAN MEDICAL PRACTICE,U39721,"HILLS, BROOKS & DALES GROUP PCN",72Q,E38000244,2.0,1.0,35.0,8.0,8.0,1.0,171.0,0.0,121.0,79.0,6393.0,701.0,G85695,SW9 6AF,U39721,QKK,NHS South East London Integrated Care Board,EMIS
G85696,VALE MEDICAL CENTRE,U23546,APLOS HEALTH PCN,72Q,E38000244,0.0,0.0,2.0,0.0,0.0,2.0,72.0,0.0,49.0,16.0,16373.0,1184.0,G85696,SE23 2JF,U23546,QKK,NHS South East London Integrated Care Board,EMIS
G85698,AMERSHAM VALE TRAINING PRACTICE,U53896,NORTH LEWISHAM PCN,72Q,E38000244,0.0,0.0,30.0,8.0,11.0,2.0,26.0,0.0,26.0,21.0,15175.0,858.0,G85698,SE14 6LD,U53896,QKK,NHS South East London Integrated Care Board,EMIS
G85706,THE OLD DAIRY HEALTH CENTRE,U60524,CROXTED PCN,72Q,E38000244,0.0,1.0,23.0,1.0,8.0,0.0,27.0,0.0,20.0,5.0,5185.0,803.0,G85706,SE21 8SZ,U60524,QKK,NHS South East London Integrated Care Board,EMIS
G85708,DR CURRAN & PARTNERS,U45098,CLAPHAM PCN,72Q,E38000244,0.0,0.0,10.0,0.0,4.0,1.0,30.0,0.0,17.0,7.0,9401.0,825.0,G85708,SW4 6EB,U45098,QKK,NHS South East London Integrated Care Board,EMIS
G85711,DEPTFORD SURGERY,U53896,NORTH LEWISHAM PCN,72Q,E38000244,0.0,0.0,7.0,1.0,1.0,0.0,11.0,0.0,9.0,6.0,11021.0,435.0,G85711,SE14 6TJ,U53896,QKK,NHS South East London Integrated Care Board,EMIS
G85715,THE LISTER PRACTICE,U60094,SOUTH SOUTHWARK PCN,72Q,E38000244,0.0,0.0,139.0,14.0,5.0,5.0,26.0,0.0,23.0,8.0,10550.0,978.0,G85715,SE15 5LJ,U60094,QKK,NHS South East London Integrated Care Board,EMIS
G85716,OAKVIEW FAMILY PRACTICE,U58020,SEVENFIELDS PCN,72Q,E38000244,0.0,0.0,5.0,0.0,2.0,0.0,18.0,0.0,13.0,9.0,5885.0,526.0,G85716,BR1 5NJ,U58020,QKK,NHS South East London Integrated Care Board,EMIS
G85721,EAST STREET,U06180,NORTH SOUTHWARK PCN,72Q,E38000244,0.0,0.0,33.0,0.0,4.0,2.0,25.0,0.0,25.0,21.0,5975.0,663.0,G85721,SE17 2GN,U06180,QKK,NHS South East London Integrated Care Board,EMIS
G85722,WOODLANDS HEALTH CENTRE,U21222,LEWISHAM ALLIANCE PCN,72Q,E38000244,0.0,0.0,22.0,11.0,0.0,3.0,25.0,0.0,26.0,16.0,10680.0,739.0,G85722,SE13 6RN,U21222,QKK,NHS South East London Integrated Care Board,EMIS
G85724,EDITH CAVELL PRACTICE,U18315,AT MEDICS STREATHAM PCN,72Q,E38000244,0.0,0.0,21.0,0.0,1.0,2.0,33.0,0.0,24.0,6.0,18452.0,1139.0,G85724,SW2 4TP,U18315,QKK,NHS South East London Integrated Care Board,EMIS
G85726,BRUNSWICK PARK FAMILY PRACTICE,U60094,SOUTH SOUTHWARK PCN,72Q,E38000244,0.0,0.0,43.0,0.0,3.0,0.0,22.0,0.0,15.0,14.0,6746.0,782.0,G85726,SE5 7RF,U60094,QKK,NHS South East London Integrated Care Board,EMIS
G85727,NIGHTINGALE SURGERY,U21222,LEWISHAM ALLIANCE PCN,72Q,E38000244,0.0,0.0,12.0,0.0,5.0,3.0,23.0,0.0,18.0,14.0,6709.0,673.0,G85727,SE12 8NP,U21222,QKK,NHS South East London Integrated Care Board,EMIS
G85736,DEPTFORD MEDICAL CENTRE,U53896,NORTH LEWISHAM PCN,72Q,E38000244,0.0,0.0,19.0,2.0,6.0,2.0,10.0,0.0,7.0,6.0,4047.0,368.0,G85736,SE14 6TG,U53896,QKK,NHS South East London Integrated Care Board,EMIS
H83001,PORTLAND MEDICAL CENTRE,U44012,KESTON MOORINGS & PARKSIDE PCN,36L,E38000245,0.0,0.0,9.0,0.0,3.0,3.0,93.0,0.0,67.0,47.0,13585.0,1573.0,H83001,SE25 4QB,U44012,QWE,NHS South West London Integrated Care Board,EMIS
H83004,FARLEY ROAD MEDICAL PRACTICE,U52199,SELSDON ADDINGTON & SHIRLEY PCN,36L,E38000245,0.0,0.0,5.0,0.0,2.0,3.0,91.0,0.0,71.0,65.0,9147.0,2634.0,H83004,CR2 7NG,U52199,QWE,NHS South West London Integrated Care Board,EMIS
H83005,UPPER NORWOOD GROUP PRACTICE,U33024,ONE THORNTON HEATH PCN,36L,E38000245,0.0,0.0,7.0,5.0,1.0,3.0,38.0,0.0,32.0,20.0,13484.0,1277.0,H83005,SE19 2NT,U33024,QWE,NHS South West London Integrated Care Board,EMIS
H83006,NEW ADDINGTON GROUP PRACTICE,U30526,MAYDAY SOUTH PCN,36L,E38000245,0.0,0.0,33.0,0.0,11.0,3.0,72.0,0.0,57.0,12.0,10794.0,1230.0,H83006,CR0 0JA,U30526,QWE,NHS South West London Integrated Care Board,EMIS
H83007,VIOLET LANE MEDICAL PRACTICE,U09071,GPNET5 PCN,36L,E38000245,0.0,0.0,1.0,0.0,1.0,3.0,94.0,0.0,54.0,31.0,9244.0,1312.0,H83007,CR0 4HN,U09071,QWE,NHS South West London Integrated Care Board,EMIS
H83008,NORTHWAY ROAD SURGERY,U74798,CROYDON GP SUPER NETWORK PCN,36L,E38000245,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,7.0,7.0,3540.0,543.0,H83008,CR0 6JJ,U74798,QWE,NHS South West London Integrated Care Board,EMIS
H83009,NORBURY MEDICAL PRACTICE,U85744,PRIMARY CARE NORTH CROYDON PCN,36L,E38000245,0.0,0.0,1.0,0.0,0.0,3.0,102.0,0.0,75.0,67.0,9041.0,1573.0,H83009,SW16 4NL,U85744,QWE,NHS South West London Integrated Care Board,EMIS
H83010,SOUTH NORWOOD HILL MEDICAL CENTRE,U33024,ONE THORNTON HEATH PCN,36L,E38000245,0.0,0.0,1.0,0.0,0.0,2.0,28.0,0.0,25.0,17.0,5749.0,945.0,H83010,SE25 6BY,U33024,QWE,NHS South West London Integrated Care Board,EMIS
H83011,NORTH CROYDON MEDICAL CENTRE,U30526,MAYDAY SOUTH PCN,36L,E38000245,0.0,0.0,3.0,0.0,2.0,6.0,63.0,0.0,55.0,46.0,7187.0,737.0,H83011,CR7 7HQ,U30526,QWE,NHS South West London Integrated Care Board,EMIS
H83012,ST JAMES MEDICAL CENTRE,U92836,CROYDON LINK PCN,36L,E38000245,0.0,0.0,10.0,0.0,1.0,4.0,45.0,0.0,30.0,16.0,8263.0,1024.0,H83012,CR0 2BZ,U92836,QWE,NHS South West London Integrated Care Board,EMIS
H83013,OLD COULSDON MEDICAL PRACTICE,U38734,SELSDON PURLEY & COULSDON HEALTH PCN,36L,E38000245,0.0,0.0,48.0,0.0,26.0,3.0,133.0,1.0,109.0,73.0,16082.0,3316.0,H83013,CR5 1HF,U38734,QWE,NHS South West London Integrated Care Board,EMIS
H83014,QUEENHILL MEDICAL PRACTICE,U52199,SELSDON ADDINGTON & SHIRLEY PCN,36L,E38000245,0.0,0.0,14.0,0.0,2.0,2.0,89.0,0.0,78.0,49.0,5133.0,1744.0,H83014,CR2 8DU,U52199,QWE,NHS South West London Integrated Care Board,EMIS
H83015,PARKSIDE GROUP PRACTICE,U44012,KESTON MOORINGS & PARKSIDE PCN,36L,E38000245,0.0,0.0,17.0,0.0,5.0,7.0,92.0,0.0,49.0,29.0,11653.0,2049.0,H83015,CR2 6EX,U44012,QWE,NHS South West London Integrated Care Board,EMIS
H83016,KESTON MEDICAL PRACTICE,U44012,KESTON MOORINGS & PARKSIDE PCN,36L,E38000245,0.0,0.0,19.0,0.0,6.0,10.0,322.0,2.0,209.0,88.0,20742.0,3984.0,H83016,CR8 2YL,U44012,QWE,NHS South West London Integrated Care Board,EMIS
H83017,BRIGSTOCK MEDICAL PRACTICE,U74798,CROYDON GP SUPER NETWORK PCN,36L,E38000245,0.0,0.0,45.0,1.0,19.0,3.0,113.0,0.0,88.0,77.0,11356.0,1935.0,H83017,CR7 7JN,U74798,QWE,NHS South West London Integrated Care Board,EMIS
H83018,SELSDON PARK MEDICAL PRACTICE,U38734,SELSDON PURLEY & COULSDON HEALTH PCN,36L,E38000245,0.0,0.0,41.0,0.0,21.0,9.0,152.0,8.0,136.0,27.0,14255.0,3436.0,H83018,CR2 8LG,U38734,QWE,NHS South West London Integrated Care Board,EMIS
H83019,FRIENDS ROAD MEDICAL PRACTICE,U09071,GPNET5 PCN,36L,E38000245,0.0,0.0,9.0,0.0,4.0,0.0,46.0,0.0,36.0,29.0,6436.0,1107.0,H83019,CR0 1ED,U09071,QWE,NHS South West London Integrated Care Board,EMIS
H83020,EVERSLEY MEDICAL CENTRE,U30526,MAYDAY SOUTH PCN,36L,E38000245,0.0,0.0,9.0,1.0,5.0,1.0,54.0,0.0,45.0,12.0,8862.0,1301.0,H83020,CR7 6AR,U30526,QWE,NHS South West London Integrated Care Board,EMIS
H83021,LONDON ROAD MEDICAL PRACTICE,U30526,MAYDAY SOUTH PCN,36L,E38000245,0.0,0.0,3.0,2.0,0.0,3.0,34.0,0.0,32.0,27.0,4895.0,945.0,H83021,CR7 6AR,U30526,QWE,NHS South West London Integrated Care Board,EMIS
H83022,THORNTON HEATH MEDICAL CENTRE,U33024,ONE THORNTON HEATH PCN,36L,E38000245,0.0,0.0,10.0,1.0,6.0,4.0,52.0,0.0,41.0,37.0,4875.0,1001.0,H83022,CR7 8RL,U33024,QWE,NHS South West London Integrated Care Board,EMIS
H83023,MORLAND ROAD SURGERY,U74798,CROYDON GP SUPER NETWORK PCN,36L,E38000245,0.0,5.0,5.0,4.0,0.0,3.0,52.0,0.0,40.0,7.0,5518.0,941.0,H83023,CR0 6HA,U74798,QWE,NHS South West London Integrated Care Board,EMIS
H83024,WOODCOTE MEDICAL,U38734,SELSDON PURLEY & COULSDON HEALTH PCN,36L,E38000245,0.0,0.0,34.0,4.0,15.0,15.0,195.0,3.0,152.0,90.0,14419.0,3310.0,H83024,CR8 3EE,U38734,QWE,NHS South West London Integrated Care Board,EMIS
H83028,ADDINGTON MEDICAL PRACTICE,U52199,SELSDON ADDINGTON & SHIRLEY PCN,36L,E38000245,0.0,0.0,14.0,0.0,5.0,7.0,58.0,0.0,48.0,40.0,8301.0,1445.0,H83028,CR0 0JA,U52199,QWE,NHS South West London Integrated Care Board,EMIS
H83029,HARTLAND WAY SURGERY,U74798,CROYDON GP SUPER NETWORK PCN,36L,E38000245,0.0,0.0,7.0,0.0,2.0,0.0,37.0,1.0,25.0,10.0,3573.0,1321.0,H83029,CR0 8RG,U74798,QWE,NHS South West London Integrated Care Board,EMIS
H83030,BROOM ROAD MEDICAL PRACTICE,U52199,SELSDON ADDINGTON & SHIRLEY PCN,36L,E38000245,0.0,0.0,4.0,0.0,2.0,1.0,55.0,0.0,27.0,19.0,2786.0,469.0,H83030,CR0 8NG,U52199,QWE,NHS South West London Integrated Care Board,EMIS
H83031,HALING PARK MEDICAL PRACTICE,U09071,GPNET5 PCN,36L,E38000245,0.0,0.0,3.0,0.0,1.0,0.0,29.0,0.0,21.0,17.0,3140.0,499.0,H83031,CR2 6AD,U09071,QWE,NHS South West London Integrated Care Board,EMIS
H83033,ASHBURTON PARK MEDICAL CENTRE,U74798,CROYDON GP SUPER NETWORK PCN,36L,E38000245,0.0,8.0,17.0,8.0,7.0,3.0,28.0,0.0,19.0,11.0,4097.0,507.0,H83033,CR0 7AG,U74798,QWE,NHS South West London Integrated Care Board,EMIS
H83034,WHITEHORSE PRACTICE,U74798,CROYDON GP SUPER NETWORK PCN,36L,E38000245,0.0,0.0,47.0,40.0,2.0,2.0,24.0,0.0,26.0,5.0,6233.0,785.0,H83034,CR0 2JJ,U74798,QWE,NHS South West London Integrated Care Board,EMIS
